title	url	category	excerpt	published_at	published_at_detail	thumbnail_url	tags_json	tags_sc	datafile_object_url
새벽에도 가동되는 날씨 핫라인의 정체	https://fficial.naver.com/contentDetail/138	서비스	잠들지 않는 서비스를 만드는 사람들	2025-08-21	2025-08-21	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250820091109_64fe1c97e3ddd6801b573070085f6d2d.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
IP 백스테이지	https://fficial.naver.com/contentDetail/136	기획	이야기를 다시 설계하는 경험의 번역자들	2025-07-28	2025-07-28	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250728144837_ecd722a784724b64b11f38a0a8b59c2e.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
동구밭과 신이어마켙이 해피빈을 만났을 때	https://fficial.naver.com/contentDetail/135	서비스	하나의 브랜드를 키우려면 온 마을이 필요하다	2025-07-31	2025-07-31	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250731164224_577a01fd535a9f19719b734ced73be6c.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
굳이 굳이, 콩 한 쪽을 나누는 사람들	https://fficial.naver.com/contentDetail/134	서비스	해피빈에 쌓인 다정한 오지랖 20년사	2025-07-10	2025-07-10	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250714145300_ed063d57423cdc788e982ed03c5dec67.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
부동산 VR 임장은 무엇을 바꿀까?	https://fficial.naver.com/contentDetail/133	기획; 서비스	발품에서 손품으로, 그다음은?	2025-07-04	2025-07-04	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250704161332_b0c2e237feb1d09cf7919fb25f7a9cdd.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
치지직에서 같이 봐 듀오	https://fficial.naver.com/contentDetail/131	서비스	콘텐츠는 다양하고, 사람은 많고, 리액션은 맛있어요	2025-07-02	2025-07-02	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250701110725_b1f95c0e7b3cc439a4dfd3618c561d7b.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
미래 도시를 만드는 중입니다	https://fficial.naver.com/contentDetail/132	테크	사우디아라비아 디지털 트윈 구축 일지	2025-06-27	2025-06-27	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250625171001_a470ec630f15d56de1fbd397d3504142.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
요즘 시대의 글쓰기 고민	https://fficial.naver.com/contentDetail/130	인사이트	네이버피셜 에디터들은 어떻게 글을 쓸까?	2025-05-23	2025-05-23	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250516182620_e7f4c76475d9a3ebb3cab4741abb5489.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
"""네이버다운 게 뭔데?"" 물으신다면"	https://fficial.naver.com/contentDetail/119	브랜딩	변화의 시대에 브랜드의 본질을 돌아봐야 하는 이유	2025-05-15	2025-05-15	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250515195050_9b09f074a7b6bcc2d7dc7a6493630577.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
고유명사가 된 네넷, 누가 만들었을까?	https://fficial.naver.com/contentDetail/116	서비스; 마케팅	<오징어 게임>에 버금가는 블록버스터 캠페인의 등장	2025-04-29	2025-04-29	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250428193521_7409b653f778e3e9635b329771f0ecf0.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
네이버와 넷플릭스, 전무후무한 협업의 탄생	https://fficial.naver.com/contentDetail/115	기획; 서비스	200일간의 협상 테이블을 훔쳐보다	2025-04-29	2025-04-29	https://campaign-cdn.pstatic.net/nfs/naverCode/content/20250428193430_06a0d654bac6af87eb74702e000e8e6d.png			https://kr.object.ncloudstorage.com/ilhaeng-artifacts-dev/prod/all/naver/20250826-093810/a8d8cb36-0472-4ebe-b139-14d26adb72e2-naver_official.tsv
